Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
A,140.04,40858206208,15
AAL,10.05,6599875072,214
AAP,62.19,3707910656,34
AAPL,226.05,3436886884352,9
ABBV,193.9,342493298688,11
ABT,111.0,193128906752,19
ACN,326.92,204777472000,6
ADBE,553.46,245404172288,3
ADI,223.19,110750670848,9
ADM,59.09,28253411328,36
ADP,264.09,107694579712,8
ADSK,248.23,53495795712,8
AEE,82.1,21905674240,26
AEP,96.94,51583713280,22
AES,17.26,12270548992,124
AFL,104.76,58668322816,20
AIG,73.56,47369031680,29
AIV,8.7,1231998208,247
AIZ,187.27,9699331072,11
AJG,285.08,62461026304,7
AKAM,100.5,15228362752,21
ALB,79.37,9328594944,27
ALGN,240.35,17953449984,8
ALK,34.78,4387809792,61
ALL,179.64,47432323072,11
ALLE,131.27,11437305856,16
AMAT,207.9,172135989248,10
AMCR,10.45,15103803392,206
AMD,148.56,240441376768,14
AME,162.69,37668593664,13
AMGN,321.44,172719046656,6
AMP,431.39,42357624832,4
AMT,219.85,102687973376,9
AMZN,177.06,1858350874624,12
ANET,353.89,111175606272,6
ANSS,325.48,28442591232,6
AON,332.05,72135204864,6
AOS,79.65,11616553984,27
APA,29.25,10819721216,73
APD,276.04,61367558144,7
APH,65.8,79242289152,32
APTV,68.93,16195792896,31
ARE,114.69,20062263296,18
ATO,129.21,20057655296,16
AVB,215.21,30606520320,10
AVGO,165.72,771406692352,13
AVY,212.97,17148153856,10
AWK,140.98,27471785984,15
AXP,251.71,178943672320,8
AZO,3212.87,54884818944,0
BA,179.99,110913978368,11
BAC,39.34,305261871104,54
BAX,36.12,18427627520,59
BBY,85.24,18387460096,25
BDX,236.33,68309291008,9
BEN,22.76,11903434752,94
BIIB,201.91,29410615296,10
BIO,325.58,9080230912,6
BK,65.61,48417427456,32
BKNG,3618.86,121320112128,0
BKR,34.94,34954674176,61
BLK,872.49,129240195072,2
BMY,49.36,100072464384,43
BR,208.71,24358336512,10
BSX,78.25,115233300480,27
BWA,32.64,7434379776,66
BXP,69.99,12393128960,30
C,61.4,117138923520,35
CAG,30.42,14572700672,70
CAH,109.85,26786371584,19
CARR,67.38,60827426816,31
CAT,343.48,166552764416,6
CB,273.41,110439604224,7
CBOE,202.94,21234423808,10
CBRE,111.73,34237538304,19
CCI,109.84,47732838400,19
CCL,15.46,20254611456,139
CDNS,281.0,76943417344,7
CDW,222.76,29755389952,9
CE,129.06,14101611520,16
CF,80.97,14607960064,26
CFG,41.23,18483408896,52
CHD,100.01,24483948544,21
CHRW,99.22,11636818944,21
CHTR,353.31,50431819776,6
CI,342.32,95695216640,6
CINF,131.12,20486189056,16
CL,101.99,83334701056,21
CLX,145.4,18009534464,14
CMA,56.22,7458707456,38
CMCSA,39.62,153428443136,54
CME,207.88,74856964096,10
CMG,52.47,71856611328,41
CMI,301.65,41340526592,7
CMS,66.45,19850541056,32
CNC,78.11,41088204800,27
CNP,25.79,16807885824,83
COF,139.56,53291823104,15
COO,94.14,18745157632,22
COP,111.18,129107779584,19
COR,238.11,46671466496,9
COST,870.59,385963032576,2
COTY,9.63,8357289472,223
CPB,49.1,14659000320,43
CPRT,51.31,49375510528,42
CRM,262.91,254759796736,8
CSCO,49.46,199264944128,43
CSX,33.42,64792686592,64
CTAS,764.86,77074178048,2
CTSH,75.86,37600616448,28
CTVA,53.8,37242888192,40
CVS,58.35,73403129856,36
CVX,147.27,267258232832,14
D,56.01,46988914688,38
DAL,40.15,25913573376,53
DD,80.18,33474750464,26
DE,377.92,104143413248,5
DFS,133.8,33593434112,16
DG,123.27,27106457600,17
DGX,151.38,16851168256,14
DHI,178.02,58005860352,12
DHR,269.32,194506407936,8
DIS,89.3,161953595392,24
DLR,149.6,49947254784,14
DLTR,98.78,21232168960,21
DOC,21.48,15017376768,100
DOV,179.83,24719073280,11
DOW,53.91,37786652672,39
DPZ,442.91,15489980416,4
DRI,143.36,16982999040,15
DTE,121.89,25233668096,17
DUK,112.3,86718283776,19
DVA,150.3,12610169856,14
DVN,45.09,28235358208,47
DXC,19.28,3486074624,111
DXCM,74.65,29914271744,28
EA,148.36,39196712960,14
EBAY,55.5,27139500032,38
ECL,240.66,68476911616,8
ED,100.1,34649313280,21
EFX,292.27,36164321280,7
EG,374.54,16207656960,5
EIX,83.41,32211023872,25
EL,94.97,34052823040,22
EMN,97.75,11423065088,22
EMR,103.09,58967478272,20
EOG,128.06,72814911488,16
EQIX,828.66,78677123072,2
EQR,71.41,27907028992,30
ES,65.11,23269337088,33
ESS,284.01,18880049152,7
ETN,296.68,118108307456,7
ETR,117.6,25146525696,18
EVRG,58.76,13512331264,36
EW,68.92,41517408256,31
EXC,37.61,37628805120,57
EXPD,120.06,16943826944,17
EXPE,131.04,17058655232,16
EXR,167.27,36891398144,12
F,10.51,41779875840,205
FANG,194.82,34754719744,11
FAST,67.45,38624972800,31
FCX,43.44,62417199104,49
FDX,285.4,69912444928,7
FE,42.57,24516999168,50
FFIV,195.57,11398680576,11
FIS,79.0,43099713536,27
FITB,40.68,27496222720,52
FLS,47.38,6224500224,45
FMC,63.2,7888877056,34
FOX,36.76,17542459392,58
FOXA,39.54,17542475776,54
FRT,113.31,9551907840,19
FTI,26.99,11561787392,79
FTNT,74.72,57153929216,28
FTV,69.58,24376797184,30
GD,296.59,81496399872,7
GE,169.42,183703797760,12
GILD,73.78,91855355904,29
GIS,69.03,38423478272,31
GL,96.89,8702640128,22
GLW,40.2,34399178752,53
GM,45.32,50936053760,47
GOOG,164.74,2015972818944,13
GOOGL,162.96,2015978323968,13
GPC,138.86,19345696768,15
GPN,108.83,27690379264,19
GPS,24.22,9084123136,88
GRMN,172.06,33072340992,12
GS,504.26,159245303808,4
GWW,966.37,47183691776,2
HAL,31.38,27703173120,68
HAS,66.34,9248260096,32
HBAN,13.9,20188776448,155
HBI,6.37,2240233472,338
HCA,373.77,96460316672,5
HD,362.06,359023771648,5
HES,136.59,42085429248,15
HIG,110.46,32366327808,19
HII,270.57,10610456576,7
HLT,212.46,52355883008,10
HOLX,81.48,18925522944,26
HON,198.5,128959692800,10
HPE,18.67,24264839168,115
HPQ,35.91,35140087808,60
HRB,64.45,8996833280,33
HRL,32.36,17743151104,66
HSIC,69.79,8842951680,30
HST,16.45,23517577216,131
HSY,193.49,39140704256,11
HUM,350.36,42184044544,6
HWM,95.82,39108644864,22
IBM,193.78,178500059136,11
ICE,156.54,89876185088,13
IDXX,492.26,40515903488,4
IEX,196.58,14881774592,10
IFF,98.58,25202866176,21
ILMN,130.31,20758382592,16
INCY,62.16,11971891200,34
INTC,20.87,89240125440,103
INTU,653.53,182692364288,3
IP,47.08,16354179072,45
IPG,31.22,11725950976,69
